id;start_date;end_date;qr_code;session_status;is_notified
1;2023-11-16T17:26:30;2023-11-16T14:36:16;wisely;Waiting;false
2;2023-11-16T13:02:58;2023-11-15T21:54:19;worriedly joyously;Undone;true
3;2023-11-16T21:16:50;2023-11-16T02:35:42;glittering woozy yuck;Undone;true
4;2023-11-16T18:35:18;2023-11-16T21:31:26;throughout;Done;false
5;2023-11-16T00:12:49;2023-11-16T04:59:09;past reconnect;Undone;true
6;2023-11-16T10:16:10;2023-11-16T00:56:40;afore so awkwardly;Waiting;true
7;2023-11-16T14:23:37;2023-11-16T15:03:07;circa;Done;true
8;2023-11-16T14:49:02;2023-11-16T15:12:32;impressive wrinkle;Done;false
9;2023-11-16T19:23:54;2023-11-16T13:40:29;daintily fair;Canceled;true
10;2023-11-16T12:01:01;2023-11-16T11:50:09;repeatedly snarl;Waiting;false
